,loading,Input,Match type,Approved symbol,Approved name,HGNC ID,Location
TEX30,-0.01866472,TEX30,Approved symbol,TEX30,testis expressed 30,HGNC:25188,13q33.1
GLYATL3,0.018660268,GLYATL3,Approved symbol,GLYATL3,glycine-N-acyltransferase like 3,HGNC:21349,6p12.3
FAM200B,0.018657567,FAM200B,Approved symbol,FAM200B,family with sequence similarity 200 member B,HGNC:27740,4p15.32
REPIN1,0.018657234,REPIN1,Approved symbol,REPIN1,replication initiator 1,HGNC:17922,7q36.1
ERMP1,0.018654712,ERMP1,Approved symbol,ERMP1,endoplasmic reticulum metallopeptidase 1,HGNC:23703,9p24.1
CDKL2,0.018654481,CDKL2,Approved symbol,CDKL2,cyclin dependent kinase like 2,HGNC:1782,4q21.1
SERPINE1,-0.018652159,SERPINE1,Approved symbol,SERPINE1,serpin family E member 1,HGNC:8583,7q22.1
CARD6,-0.018648539,CARD6,Approved symbol,CARD6,caspase recruitment domain family member 6,HGNC:16394,5p13.1
WSCD1,0.018642829,WSCD1,Approved symbol,WSCD1,WSC domain containing 1,HGNC:29060,17p13.2
COL23A1,-0.018642773,COL23A1,Approved symbol,COL23A1,collagen type XXIII alpha 1 chain,HGNC:22990,5q35.3
SLC1A3,-0.018642539,SLC1A3,Approved symbol,SLC1A3,solute carrier family 1 member 3,HGNC:10941,5p13.2
S1PR5,-0.018640262,S1PR5,Approved symbol,S1PR5,sphingosine-1-phosphate receptor 5,HGNC:14299,19p13.2
PTPN21,0.018640227,PTPN21,Approved symbol,PTPN21,protein tyrosine phosphatase non-receptor type 21,HGNC:9651,14q31.3
COX4I1,0.018635105,COX4I1,Approved symbol,COX4I1,cytochrome c oxidase subunit 4I1,HGNC:2265,16q24.1
EVA1A,-0.018632709,EVA1A,Approved symbol,EVA1A,"eva-1 homolog A, regulator of programmed cell death",HGNC:25816,2p12
CYP1B1-AS1,0.018632205,CYP1B1-AS1,Approved symbol,CYP1B1-AS1,CYP1B1 antisense RNA 1,HGNC:28543,2p22.2
XAF1,-0.01863103,XAF1,Approved symbol,XAF1,XIAP associated factor 1,HGNC:30932,17p13.2
CLEC4A,-0.018630796,CLEC4A,Approved symbol,CLEC4A,C-type lectin domain family 4 member A,HGNC:13257,12p13.31
FAM49A,-0.018628498,FAM49A,Previous symbol,CYRIA,CYFIP related Rac1 interactor A,HGNC:25373,2p24.2
GAREML,0.018620813,GAREML,Previous symbol,GAREM2,GRB2 associated regulator of MAPK1 subtype 2,HGNC:27172,2p23.3
FHDC1,0.018611482,FHDC1,Approved symbol,FHDC1,FH2 domain containing 1,HGNC:29363,4q31.3
IGSF9,0.018601876,IGSF9,Approved symbol,IGSF9,immunoglobulin superfamily member 9,HGNC:18132,1q23.2
MIR4435-1HG,-0.0186008,MIR4435-1HG,Previous symbol,MIR4435-2HG,MIR4435-2 host gene,HGNC:35163,2q13
SLAMF1,-0.018599028,SLAMF1,Approved symbol,SLAMF1,signaling lymphocytic activation molecule family member 1,HGNC:10903,1q23.3
RP11-229P13.20,-0.018597164,RP11-229P13.20,Unmatched,RP11-229P13.20,,,
AAED1,-0.018594841,AAED1,Previous symbol,PRXL2C,peroxiredoxin like 2C,HGNC:16881,9q22.33
FAM168B,0.018593978,FAM168B,Approved symbol,FAM168B,family with sequence similarity 168 member B,HGNC:27016,2q21.1
FAM65C,-0.018592341,FAM65C,Previous symbol,RIPOR3,RIPOR family member 3,HGNC:16168,20q13.13
SLC25A4,0.018591844,SLC25A4,Approved symbol,SLC25A4,solute carrier family 25 member 4,HGNC:10990,4q35.1
AC112721.2,-0.018590798,AC112721.2,Unmatched,AC112721.2,,,
GALNT14,-0.018589813,GALNT14,Approved symbol,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,HGNC:22946,2p23.1
INHBA,-0.01858884,INHBA,Approved symbol,INHBA,inhibin subunit beta A,HGNC:6066,7p14.1
UNC13D,-0.018586621,UNC13D,Approved symbol,UNC13D,unc-13 homolog D,HGNC:23147,17q25.3
HRH4,-0.018582781,HRH4,Approved symbol,HRH4,histamine receptor H4,HGNC:17383,18q11.2
CHST15,-0.018577449,CHST15,Approved symbol,CHST15,carbohydrate sulfotransferase 15,HGNC:18137,10q26.13
RP11-326C3.12,-0.018577084,RP11-326C3.12,Unmatched,RP11-326C3.12,,,
TMEM71,-0.018577051,TMEM71,Approved symbol,TMEM71,transmembrane protein 71,HGNC:26572,8q24.22
CTD-2541M15.1,0.018576825,CTD-2541M15.1,Unmatched,CTD-2541M15.1,,,
GSG2,-0.018575922,GSG2,Previous symbol,HASPIN,histone H3 associated protein kinase,HGNC:19682,17p13.2
TNFSF14,-0.018571626,TNFSF14,Approved symbol,TNFSF14,TNF superfamily member 14,HGNC:11930,19p13.3
SLC9B2,-0.018570317,SLC9B2,Approved symbol,SLC9B2,solute carrier family 9 member B2,HGNC:25143,4q24
AUH,0.018566252,AUH,Approved symbol,AUH,AU RNA binding methylglutaconyl-CoA hydratase,HGNC:890,9q22.31
MGAT4B,0.018566049,MGAT4B,Approved symbol,MGAT4B,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",HGNC:7048,5q35.3
SMCO2,-0.018561618,SMCO2,Approved symbol,SMCO2,single-pass membrane protein with coiled-coil domains 2,HGNC:34448,12p11.23
FANCB,-0.018560471,FANCB,Approved symbol,FANCB,FA complementation group B,HGNC:3583,Xp22.2
AGT,-0.018558662,AGT,Approved symbol,AGT,angiotensinogen,HGNC:333,1q42.2
TLR2,-0.018558023,TLR2,Approved symbol,TLR2,toll like receptor 2,HGNC:11848,4q31.3
C4BPB,-0.018558004,C4BPB,Approved symbol,C4BPB,complement component 4 binding protein beta,HGNC:1328,1q32.1
CDK2,-0.018557499,CDK2,Approved symbol,CDK2,cyclin dependent kinase 2,HGNC:1771,12q13.2
CRLS1,0.018557207,CRLS1,Approved symbol,CRLS1,cardiolipin synthase 1,HGNC:16148,20p12.3
USP19,0.018557094,USP19,Approved symbol,USP19,ubiquitin specific peptidase 19,HGNC:12617,3p21.31
TYMP,-0.01855605,TYMP,Approved symbol,TYMP,thymidine phosphorylase,HGNC:3148,22q13.33
CLEC7A,-0.018555457,CLEC7A,Approved symbol,CLEC7A,C-type lectin domain containing 7A,HGNC:14558,12p13.2
FCGR3B,-0.018551169,FCGR3B,Approved symbol,FCGR3B,Fc fragment of IgG receptor IIIb,HGNC:3620,1q23.3
TRPM6,0.018551053,TRPM6,Approved symbol,TRPM6,transient receptor potential cation channel subfamily M member 6,HGNC:17995,9q21.13
PRDX1,-0.018550803,PRDX1,Approved symbol,PRDX1,peroxiredoxin 1,HGNC:9352,1p34.1
LRFN2,0.018543523,LRFN2,Approved symbol,LRFN2,leucine rich repeat and fibronectin type III domain containing 2,HGNC:21226,6p21.2-p21.1
SCIMP,-0.018542935,SCIMP,Approved symbol,SCIMP,SLP adaptor and CSK interacting membrane protein,HGNC:33504,17p13.2
STX11,-0.018542372,STX11,Approved symbol,STX11,syntaxin 11,HGNC:11429,6q24.2
RP11-80H8.4,-0.018541013,RP11-80H8.4,Unmatched,RP11-80H8.4,,,
PLXNA1,-0.018538619,PLXNA1,Approved symbol,PLXNA1,plexin A1,HGNC:9099,3q21.3
SMAP2,-0.018534687,SMAP2,Approved symbol,SMAP2,small ArfGAP2,HGNC:25082,1p34.2
LINC00238,0.018530664,LINC00238,Previous symbol,CCDC196,coiled-coil domain containing 196,HGNC:20100,14q23.3
BST2,-0.018525662,BST2,Approved symbol,BST2,bone marrow stromal cell antigen 2,HGNC:1119,19p13.11
AP001046.5,-0.018522876,AP001046.5,Unmatched,AP001046.5,,,
COL4A1,-0.018522621,COL4A1,Approved symbol,COL4A1,collagen type IV alpha 1 chain,HGNC:2202,13q34
C6orf223,-0.018522506,C6orf223,Approved symbol,C6orf223,chromosome 6 open reading frame 223,HGNC:28692,6p21.1
HCAR2,-0.018519888,HCAR2,Approved symbol,HCAR2,hydroxycarboxylic acid receptor 2,HGNC:24827,12q24.31
AC069363.1,-0.018516478,AC069363.1,Unmatched,AC069363.1,,,
MTMR7,0.018515386,MTMR7,Approved symbol,MTMR7,myotubularin related protein 7,HGNC:7454,8p22
ATHL1,-0.018515287,ATHL1,Previous symbol,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase,HGNC:26210,11p15.5
ELTD1,-0.018511688,ELTD1,Previous symbol,ADGRL4,adhesion G protein-coupled receptor L4,HGNC:20822,1p31.1
LAG3,-0.018506182,LAG3,Approved symbol,LAG3,lymphocyte activating 3,HGNC:6476,12p13.31
PTGS2,-0.018502921,PTGS2,Approved symbol,PTGS2,prostaglandin-endoperoxide synthase 2,HGNC:9605,1q31.1
IL17F,-0.018498314,IL17F,Approved symbol,IL17F,interleukin 17F,HGNC:16404,6p12.2
PLEKHO2,-0.018497509,PLEKHO2,Approved symbol,PLEKHO2,pleckstrin homology domain containing O2,HGNC:30026,15q22.31
AC097468.4,0.018494626,AC097468.4,Unmatched,AC097468.4,,,
KIF21B,-0.018493062,KIF21B,Approved symbol,KIF21B,kinesin family member 21B,HGNC:29442,1q32.1
SGTB,-0.018482042,SGTB,Approved symbol,SGTB,small glutamine rich tetratricopeptide repeat containing beta,HGNC:23567,5q12.3
ACKR4,-0.018479383,ACKR4,Approved symbol,ACKR4,atypical chemokine receptor 4,HGNC:1611,3q22.1
EZH2,-0.018472829,EZH2,Approved symbol,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,HGNC:3527,7q36.1
LPIN1,-0.018472428,LPIN1,Approved symbol,LPIN1,lipin 1,HGNC:13345,2p25.1
IRF2BP2,0.018472295,IRF2BP2,Approved symbol,IRF2BP2,interferon regulatory factor 2 binding protein 2,HGNC:21729,1q42.3
APOH,0.018471738,APOH,Approved symbol,APOH,apolipoprotein H,HGNC:616,17q24.2
RGS16,-0.01846757,RGS16,Approved symbol,RGS16,regulator of G protein signaling 16,HGNC:9997,1q25.3
C16orf93,-0.018465968,C16orf93,Previous symbol,CCDC189,coiled-coil domain containing 189,HGNC:28078,16p11.2
HGF,-0.018464529,HGF,Approved symbol,HGF,hepatocyte growth factor,HGNC:4893,7q21.11
ANKMY2,0.018464128,ANKMY2,Approved symbol,ANKMY2,ankyrin repeat and MYND domain containing 2,HGNC:25370,7p21.1
ELK3,-0.018462001,ELK3,Approved symbol,ELK3,ETS transcription factor ELK3,HGNC:3325,12q23.1
SERPINB4,-0.018452101,SERPINB4,Approved symbol,SERPINB4,serpin family B member 4,HGNC:10570,18q21.33
SNX30,0.018450182,SNX30,Approved symbol,SNX30,sorting nexin family member 30,HGNC:23685,9q32
RP11-91J19.4,0.018447767,RP11-91J19.4,Unmatched,RP11-91J19.4,,,
RP11-120K24.3,0.018445908,RP11-120K24.3,Unmatched,RP11-120K24.3,,,
IL5RA,-0.018444895,IL5RA,Approved symbol,IL5RA,interleukin 5 receptor subunit alpha,HGNC:6017,3p26.2
FAM211A,0.018441776,FAM211A,Previous symbol,LRRC75A,leucine rich repeat containing 75A,HGNC:32403,17p11.2
PWWP2A,0.01843862,PWWP2A,Approved symbol,PWWP2A,PWWP domain containing 2A,HGNC:29406,5q33.3
GEM,-0.018438504,GEM,Approved symbol,GEM,GTP binding protein overexpressed in skeletal muscle,HGNC:4234,8q22.1
RP5-1071N3.1,-0.018438202,RP5-1071N3.1,Unmatched,RP5-1071N3.1,,,
MAP3K8,-0.018434548,MAP3K8,Approved symbol,MAP3K8,mitogen-activated protein kinase kinase kinase 8,HGNC:6860,10p11.23
DTHD1,-0.018427348,DTHD1,Approved symbol,DTHD1,death domain containing 1,HGNC:37261,4p14
CDKN2B,0.018425599,CDKN2B,Approved symbol,CDKN2B,cyclin dependent kinase inhibitor 2B,HGNC:1788,9p21.3
WARS,-0.018422332,WARS,Previous symbol,WARS1,tryptophanyl-tRNA synthetase 1,HGNC:12729,14q32.2
RP11-293P20.2,0.018420352,RP11-293P20.2,Unmatched,RP11-293P20.2,,,
C19orf66,-0.018413731,C19orf66,Previous symbol,SHFL,shiftless antiviral inhibitor of ribosomal frameshifting,HGNC:25649,19p13.2
CPXM1,-0.018410219,CPXM1,Approved symbol,CPXM1,"carboxypeptidase X, M14 family member 1",HGNC:15771,20p13
ZNF768,0.018406108,ZNF768,Approved symbol,ZNF768,zinc finger protein 768,HGNC:26273,16p11.2
C3,-0.018405878,C3,Approved symbol,C3,complement C3,HGNC:1318,19p13.3
CDH5,-0.018404907,CDH5,Approved symbol,CDH5,cadherin 5,HGNC:1764,16q21
UGT1A6,-0.018404484,UGT1A6,Approved symbol,UGT1A6,UDP glucuronosyltransferase family 1 member A6,HGNC:12538,2q37.1
RRN3,0.01840415,RRN3,Approved symbol,RRN3,"RRN3 homolog, RNA polymerase I transcription factor",HGNC:30346,16p13.11
DBF4B,-0.018403636,DBF4B,Approved symbol,DBF4B,DBF4 zinc finger B,HGNC:17883,17q21.31
RAMP3,-0.01840242,RAMP3,Approved symbol,RAMP3,receptor activity modifying protein 3,HGNC:9845,7p13
QPRT,0.018398604,QPRT,Approved symbol,QPRT,quinolinate phosphoribosyltransferase,HGNC:9755,16p11.2
GSDMC,-0.018389215,GSDMC,Approved symbol,GSDMC,gasdermin C,HGNC:7151,8q24.21
FGFR3,0.018384844,FGFR3,Approved symbol,FGFR3,fibroblast growth factor receptor 3,HGNC:3690,4p16.3
CX3CL1,-0.018381588,CX3CL1,Approved symbol,CX3CL1,C-X3-C motif chemokine ligand 1,HGNC:10647,16q21
PTGDS,-0.018378995,PTGDS,Approved symbol,PTGDS,prostaglandin D2 synthase,HGNC:9592,9q34.3
SYTL3,-0.018375252,SYTL3,Approved symbol,SYTL3,synaptotagmin like 3,HGNC:15587,6q25.3
COX5A,0.018373364,COX5A,Approved symbol,COX5A,cytochrome c oxidase subunit 5A,HGNC:2267,15q24.2
MARCKS,0.018372487,MARCKS,Approved symbol,MARCKS,myristoylated alanine rich protein kinase C substrate,HGNC:6759,6q21
NMNAT3,0.018372397,NMNAT3,Approved symbol,NMNAT3,nicotinamide nucleotide adenylyltransferase 3,HGNC:20989,3q23
EGR2,-0.018372223,EGR2,Approved symbol,EGR2,early growth response 2,HGNC:3239,10q21.3
RP11-1070N10.3,-0.018369608,RP11-1070N10.3,Unmatched,RP11-1070N10.3,,,
GPR116,-0.018368933,GPR116,Previous symbol,ADGRF5,adhesion G protein-coupled receptor F5,HGNC:19030,6p12.3
ZBED2,-0.018367326,ZBED2,Approved symbol,ZBED2,zinc finger BED-type containing 2,HGNC:20710,3q13.13
TTR,0.0183639,TTR,Approved symbol,TTR,transthyretin,HGNC:12405,18q12.1
LILRB2,-0.018363727,LILRB2,Approved symbol,LILRB2,leukocyte immunoglobulin like receptor B2,HGNC:6606,19q13.4
ITPRIPL1,-0.018363309,ITPRIPL1,Approved symbol,ITPRIPL1,ITPRIP like 1,HGNC:29371,2q11.2
ATXN7L3B,0.018359241,ATXN7L3B,Approved symbol,ATXN7L3B,ataxin 7 like 3B,HGNC:37931,12q21.1
LINC00938,0.018354495,LINC00938,Approved symbol,LINC00938,long intergenic non-protein coding RNA 938,HGNC:48630,12q12
RAVER2,0.018353863,RAVER2,Approved symbol,RAVER2,"ribonucleoprotein, PTB binding 2",HGNC:25577,1p31.3
C9orf3,-0.018352774,C9orf3,Previous symbol,AOPEP,aminopeptidase O (putative),HGNC:1361,9q22.32
MADCAM1,-0.018352698,MADCAM1,Approved symbol,MADCAM1,mucosal vascular addressin cell adhesion molecule 1,HGNC:6765,19p13.3
SELE,-0.018347495,SELE,Approved symbol,SELE,selectin E,HGNC:10718,1q24.2
LYN,-0.018347029,LYN,Approved symbol,LYN,"LYN proto-oncogene, Src family tyrosine kinase",HGNC:6735,8q12.1
CFI,-0.018344085,CFI,Approved symbol,CFI,complement factor I,HGNC:5394,4q25
RFX6,0.018340974,RFX6,Approved symbol,RFX6,regulatory factor X6,HGNC:21478,6q22.1
MED29,0.018337568,MED29,Approved symbol,MED29,mediator complex subunit 29,HGNC:23074,19q13.2
SORBS3,0.018333467,SORBS3,Approved symbol,SORBS3,sorbin and SH3 domain containing 3,HGNC:30907,8p21.3
CLEC1A,-0.018327447,CLEC1A,Approved symbol,CLEC1A,C-type lectin domain family 1 member A,HGNC:24355,12p13.2
CCDC64,-0.018326854,CCDC64,Previous symbol,BICDL1,BICD family like cargo adaptor 1,HGNC:28095,12q24.23
PACS1,-0.018322307,PACS1,Approved symbol,PACS1,phosphofurin acidic cluster sorting protein 1,HGNC:30032,11q13.1-q13.2
FUT7,-0.018320273,FUT7,Approved symbol,FUT7,fucosyltransferase 7,HGNC:4018,9q34.3
MYO1F,-0.018318045,MYO1F,Approved symbol,MYO1F,myosin IF,HGNC:7600,19p13.2
RILPL2,-0.018310292,RILPL2,Approved symbol,RILPL2,Rab interacting lysosomal protein like 2,HGNC:28787,12q24.31
SMPDL3A,0.018309606,SMPDL3A,Approved symbol,SMPDL3A,sphingomyelin phosphodiesterase acid like 3A,HGNC:17389,6q22.31
ZNF649,0.018306669,ZNF649,Approved symbol,ZNF649,zinc finger protein 649,HGNC:25741,19q13.41
LST1,-0.018306539,LST1,Approved symbol,LST1,leukocyte specific transcript 1,HGNC:14189,6p21.33
TINCR,0.018304429,TINCR,Approved symbol,TINCR,TINCR ubiquitin domain containing,HGNC:14607,19p13.3
LDLRAD3,-0.018304338,LDLRAD3,Approved symbol,LDLRAD3,low density lipoprotein receptor class A domain containing 3,HGNC:27046,11p13
GBP4,-0.018304257,GBP4,Approved symbol,GBP4,guanylate binding protein 4,HGNC:20480,1p22.2
VAV1,-0.018301024,VAV1,Approved symbol,VAV1,vav guanine nucleotide exchange factor 1,HGNC:12657,19p13.3
NME7,-0.01829825,NME7,Approved symbol,NME7,NME/NM23 family member 7,HGNC:20461,1q24.2
PMAIP1,-0.01829741,PMAIP1,Approved symbol,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,HGNC:9108,18q21.32
CTSC,-0.018297329,CTSC,Approved symbol,CTSC,cathepsin C,HGNC:2528,11q14.2
NFS1,0.018293555,NFS1,Approved symbol,NFS1,NFS1 cysteine desulfurase,HGNC:15910,20q11.22
HDAC7,-0.018273501,HDAC7,Approved symbol,HDAC7,histone deacetylase 7,HGNC:14067,12q13.11
ADPRHL1,0.0182728,ADPRHL1,Approved symbol,ADPRHL1,ADP-ribosylhydrolase like 1,HGNC:21303,13q34
TMEM158,-0.018272504,TMEM158,Approved symbol,TMEM158,transmembrane protein 158,HGNC:30293,3p21.31
TMEM108,-0.0182714,TMEM108,Approved symbol,TMEM108,transmembrane protein 108,HGNC:28451,3q22.1
BTF3,0.018271151,BTF3,Approved symbol,BTF3,basic transcription factor 3,HGNC:1125,5q13.2
DNAAF1,-0.018270107,DNAAF1,Approved symbol,DNAAF1,dynein axonemal assembly factor 1,HGNC:30539,16q24.1
MT1G,0.018265124,MT1G,Approved symbol,MT1G,metallothionein 1G,HGNC:7399,16q13
ITGAM,-0.018260738,ITGAM,Approved symbol,ITGAM,integrin subunit alpha M,HGNC:6149,16p11.2
AC005152.2,0.018258231,AC005152.2,Unmatched,AC005152.2,,,
LRRK2,-0.018257763,LRRK2,Approved symbol,LRRK2,leucine rich repeat kinase 2,HGNC:18618,12q12
CHSY1,-0.018248115,CHSY1,Approved symbol,CHSY1,chondroitin sulfate synthase 1,HGNC:17198,15q26.3
RP11-290F20.3,-0.018247992,RP11-290F20.3,Unmatched,RP11-290F20.3,,,
RFC2,-0.01824572,RFC2,Approved symbol,RFC2,replication factor C subunit 2,HGNC:9970,7q11.23
BTN2A2,-0.018243115,BTN2A2,Approved symbol,BTN2A2,butyrophilin subfamily 2 member A2,HGNC:1137,6p22.2
FADS1,-0.018240657,FADS1,Approved symbol,FADS1,fatty acid desaturase 1,HGNC:3574,11q12.2
CREM,-0.018240216,CREM,Approved symbol,CREM,cAMP responsive element modulator,HGNC:2352,10p11.21
CTD-2196E14.4,0.018239639,CTD-2196E14.4,Unmatched,CTD-2196E14.4,,,
GAL3ST4,0.01823779,GAL3ST4,Approved symbol,GAL3ST4,galactose-3-O-sulfotransferase 4,HGNC:24145,7q22.1
HOXA11-AS,0.018226839,HOXA11-AS,Approved symbol,HOXA11-AS,HOXA11 antisense RNA,HGNC:24957,7p15.2
EPHX2,0.018223829,EPHX2,Approved symbol,EPHX2,epoxide hydrolase 2,HGNC:3402,8p21.2-p21.1
PLEKHN1,-0.018223377,PLEKHN1,Approved symbol,PLEKHN1,pleckstrin homology domain containing N1,HGNC:25284,1p36.33
SPHK1,-0.018221566,SPHK1,Approved symbol,SPHK1,sphingosine kinase 1,HGNC:11240,17q25.1
CXCL5,-0.018220575,CXCL5,Approved symbol,CXCL5,C-X-C motif chemokine ligand 5,HGNC:10642,4q13.3
FAM115C,-0.018218596,FAM115C,Previous symbol,TCAF2,TRPM8 channel associated factor 2,HGNC:26878,7q35
ZNF233,0.018216748,ZNF233,Approved symbol,ZNF233,zinc finger protein 233,HGNC:30946,19q13.31
STC1,-0.018215176,STC1,Approved symbol,STC1,stanniocalcin 1,HGNC:11373,8p21.2
TTLL4,-0.018206838,TTLL4,Approved symbol,TTLL4,tubulin tyrosine ligase like 4,HGNC:28976,2q35
RP11-499E18.1,0.018203886,RP11-499E18.1,Unmatched,RP11-499E18.1,,,
LTBP2,-0.018203601,LTBP2,Approved symbol,LTBP2,latent transforming growth factor beta binding protein 2,HGNC:6715,14q24.3
AC061992.2,-0.018203437,AC061992.2,Unmatched,AC061992.2,,,
IGFBP5,-0.018197544,IGFBP5,Approved symbol,IGFBP5,insulin like growth factor binding protein 5,HGNC:5474,2q35
MRPS33,0.018193887,MRPS33,Approved symbol,MRPS33,mitochondrial ribosomal protein S33,HGNC:16634,7q34
LIMK1,-0.018190599,LIMK1,Approved symbol,LIMK1,LIM domain kinase 1,HGNC:6613,7q11.23
SIRPB1,-0.018182509,SIRPB1,Approved symbol,SIRPB1,signal regulatory protein beta 1,HGNC:15928,20p13
RP11-563J2.2,-0.018181909,RP11-563J2.2,Unmatched,RP11-563J2.2,,,
AC073316.1,-0.018180797,AC073316.1,Unmatched,AC073316.1,,,
TSPO2,-0.018179237,TSPO2,Approved symbol,TSPO2,translocator protein 2,HGNC:21256,6p21.1
STEAP4,-0.018176668,STEAP4,Approved symbol,STEAP4,STEAP4 metalloreductase,HGNC:21923,7q21.12
FHL3,-0.018174564,FHL3,Approved symbol,FHL3,four and a half LIM domains 3,HGNC:3704,1p34.3
VEGFC,-0.0181677,VEGFC,Approved symbol,VEGFC,vascular endothelial growth factor C,HGNC:12682,4q34.3
ARHGEF9,0.018166344,ARHGEF9,Approved symbol,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9,HGNC:14561,Xq11.1
PROK2,-0.018166231,PROK2,Approved symbol,PROK2,prokineticin 2,HGNC:18455,3p13
MNX1,0.018164423,MNX1,Approved symbol,MNX1,motor neuron and pancreas homeobox 1,HGNC:4979,7q36.3
SSBP3,0.018160834,SSBP3,Approved symbol,SSBP3,single stranded DNA binding protein 3,HGNC:15674,1p32.3
S100A8,-0.018160161,S100A8,Approved symbol,S100A8,S100 calcium binding protein A8,HGNC:10498,1q21.3
KCTD20,-0.01815681,KCTD20,Approved symbol,KCTD20,potassium channel tetramerization domain containing 20,HGNC:21052,6p21.31
CACNA1C,-0.018146057,CACNA1C,Approved symbol,CACNA1C,calcium voltage-gated channel subunit alpha1 C,HGNC:1390,12p13.33
PML,-0.018144173,PML,Approved symbol,PML,PML nuclear body scaffold,HGNC:9113,15q24.1
RP11-589N15.2,-0.018142349,RP11-589N15.2,Unmatched,RP11-589N15.2,,,
ZNRF3,0.018137783,ZNRF3,Approved symbol,ZNRF3,zinc and ring finger 3,HGNC:18126,22q12.1
THG1L,0.018134115,THG1L,Approved symbol,THG1L,tRNA-histidine guanylyltransferase 1 like,HGNC:26053,5q33.3
NKX2-2,0.018132858,NKX2-2,Approved symbol,NKX2-2,NK2 homeobox 2,HGNC:7835,20p11.22
STX2,-0.018132659,STX2,Approved symbol,STX2,syntaxin 2,HGNC:3403,12q24.33
RNF5,0.018132395,RNF5,Approved symbol,RNF5,ring finger protein 5,HGNC:10068,6p21.32
MTHFD1L,-0.01813135,MTHFD1L,Approved symbol,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,HGNC:21055,6q25.1
DRAM1,-0.018128989,DRAM1,Approved symbol,DRAM1,DNA damage regulated autophagy modulator 1,HGNC:25645,12q23.2
CCNF,-0.01811808,CCNF,Approved symbol,CCNF,cyclin F,HGNC:1591,16p13.3
CETP,-0.018117974,CETP,Approved symbol,CETP,cholesteryl ester transfer protein,HGNC:1869,16q13
MEGF8,0.018117021,MEGF8,Approved symbol,MEGF8,multiple EGF like domains 8,HGNC:3233,19q13.2
CTHRC1,-0.018115656,CTHRC1,Approved symbol,CTHRC1,collagen triple helix repeat containing 1,HGNC:18831,8q22.3
AP000695.4,-0.018112248,AP000695.4,Unmatched,AP000695.4,,,
STOM,-0.018104462,STOM,Approved symbol,STOM,stomatin,HGNC:3383,9q33.2
FAM105B,-0.018097903,FAM105B,Previous symbol,OTULIN,OTU deubiquitinase with linear linkage specificity,HGNC:25118,5p15.2
TBX21,-0.018091281,TBX21,Approved symbol,TBX21,T-box transcription factor 21,HGNC:11599,17q21.32
HBD,-0.018090423,HBD,Approved symbol,HBD,hemoglobin subunit delta,HGNC:4829,11p15.4
RAD54L,-0.018088051,RAD54L,Approved symbol,RAD54L,RAD54 like,HGNC:9826,1p34.1
NXPE3,-0.018086608,NXPE3,Approved symbol,NXPE3,neurexophilin and PC-esterase domain family member 3,HGNC:28238,3q12.3
NFYC,0.018069599,NFYC,Approved symbol,NFYC,nuclear transcription factor Y subunit gamma,HGNC:7806,1p34.2
NEU4,0.018068944,NEU4,Approved symbol,NEU4,neuraminidase 4,HGNC:21328,2q37.3
SH3PXD2B,-0.018068334,SH3PXD2B,Approved symbol,SH3PXD2B,SH3 and PX domains 2B,HGNC:29242,5q35.1
GNA15,-0.018067373,GNA15,Approved symbol,GNA15,G protein subunit alpha 15,HGNC:4383,19p13.3
MAOA,0.01806374,MAOA,Approved symbol,MAOA,monoamine oxidase A,HGNC:6833,Xp11.3
SLC2A10,0.018061548,SLC2A10,Approved symbol,SLC2A10,solute carrier family 2 member 10,HGNC:13444,20q13.12
RBM24,0.018058231,RBM24,Approved symbol,RBM24,RNA binding motif protein 24,HGNC:21539,6p22.3
C11orf82,-0.018056566,C11orf82,Previous symbol,DDIAS,DNA damage induced apoptosis suppressor,HGNC:26351,11q14.1
TTC9,-0.018055678,TTC9,Approved symbol,TTC9,tetratricopeptide repeat domain 9,HGNC:20267,14q24.2
RNF213,-0.018052887,RNF213,Approved symbol,RNF213,ring finger protein 213,HGNC:14539,17q25.3
LILRA2,-0.018050819,LILRA2,Approved symbol,LILRA2,leukocyte immunoglobulin like receptor A2,HGNC:6603,19q13.4
CTB-43E15.4,-0.018049554,CTB-43E15.4,Unmatched,CTB-43E15.4,,,
CCL24,-0.018047865,CCL24,Approved symbol,CCL24,C-C motif chemokine ligand 24,HGNC:10623,7q11.23
LINC01088,0.018040945,LINC01088,Approved symbol,LINC01088,long intergenic non-protein coding RNA 1088,HGNC:49148,4q21.21
MNX1-AS1,0.018040142,MNX1-AS1,Approved symbol,MNX1-AS1,MNX1 antisense RNA 1 (head to head),HGNC:48954,7q36.3
AC108463.2,-0.018037625,AC108463.2,Unmatched,AC108463.2,,,
TIMELESS,-0.018035219,TIMELESS,Approved symbol,TIMELESS,timeless circadian regulator,HGNC:11813,12q13.3
IP6K2,0.018027533,IP6K2,Approved symbol,IP6K2,inositol hexakisphosphate kinase 2,HGNC:17313,3p21.31
